Course_ID,Course_Code,Course_Name,Course_Description,Credit,Year,Semester,Is_Major_Elective
388,CE 4714,Fault-Tolerant Computer,Maintainable and diagnosable design techniques; test generation algorithms; Boolean difference; simulation for design verification; self-checking logic circuits; error detection and correction codes; redundancy techniques; design of simplified testing,3,,,TRUE
389,CE 4903,Advanced Topics in Computer Engineering,Topic of current interest and new developments on computer engineering.,3,,,TRUE
390,CE 4904,Special Problems in Computer Engineering,Investigation of special problems assigned by the instructor with the consent of the Faculty; a written report is required.,3,,,TRUE
391,EE 4305,Digital Signal Processing,"Continuous-time and discrete-time signals, spectral analysis; decimation and interpolation; sampling rate conversion; DFT; probabilistic methods in DSP; design of FIR, IIR digital filters,multirate systems and filterBanks; Discrete Wavelet Transform; introduction to some DSP applications such as image processing, speech and audio processing, array processing and further current applications.",3,,,TRUE
392,CE 3901,Digital Audio/Video Coding Technique,Basics technique of audio/video encoding.,3,,,TRUE
393,CE 4002,Introduction to Broadcasting Technology,"Current technology using in the broadcasting technology e.g. Broadcasts protocol, video editing technology.",3,,,TRUE
394,CE 4207,System and Network Programming,"Syntax and semantics of C++ applied to object oriented programming concept of abstract data type, classes, data hiding, polymorphism and inheritance. General introduction to UNIX operating system and UNIX file system, and use of UNIX system calls in C++",3,,,TRUE
395,CE 4223,Advanced Computer Networks,"Hardware and software organization for computer communication networks, using the 7-layer Open System Interconnection Reference Model and IP protocol suite as a basis for study, typical designs for computer network protocols from the hardware through the communications software and application software levels, using LAN, TCP/IP and OSI protocols as examples including internetworking concept and technology.",3,,,TRUE
396,CE 4226,Network Systems Analysis and Design,"Analysis and design of networks; methods to analyze the existing networks, redesign the existing network or design and evaluate the network; queuing theory, trafficanalysis, security, reliability, availability and flexibility",3,,,TRUE
397,CE 4227,Mobile and Wireless Networks,"Wireless communication system; theory, principle of mobile communication system; characteristic and impact of radio propagation; modulation techniques; speech coding; diversity channel coding; multiplexing technique; interconnection components for mobile communication system; standards of current mobile communication, 3G, 4G, 5G and beyond; cellular systems: multiple access and interference management, capacity of wireless channels, multiuser capacity; MIMO system; wireless data networks with an emphasis on protocols above the physical layer.",3,,,TRUE
398,TE 4112,Optical Communications,"Cylindrical dielectric waveguides and propagating conditions; structure and types of optical fiber;optical fiberparameters; optical fiberproduction; optical cable types; optical transmitters; optical receivers; signal degradations, attenuation and dispersion in fiber link; optical repeaters and amplifiers; link budget calculation; multiplexing in optical link system; introduction to FTTX.",3,,,TRUE
399,TE 4204,Optoelectronics,"Units of light measurement, optical fibe, wave guide, light sources, and semiconductor light detector, liquid crystal, optical transmission and reception, optical integrated circuits.",3,,,TRUE
400,TE 4301,Principle of Telecommunications Policies,"This course introduces fundamental of information and communications policies and regulations governing services such as Internet services, broadband applications, telephone, mobile, cable, and wireless and spectrum management. Students will learn key issues, principles, and practices in policy development emphasizing the intersection of technology, economics, and public policy.",3,,,TRUE
401,CE 4114,Data Mining,Fundamental concepts of data mining; data mining methodologies; classification;association rules; clustering.,3,,,TRUE
402,CE 4229,Introduction to Cloud Computing,"Introduce the concepts of Cloud Computing as new computing paradigm. The course will expose students with various terminology, principles, and applications. Also, students will learn technological aspects of distributed systems and databases, virtualization, data parallelism, performance analysis, cloud services, networking, and security.",3,,,TRUE
403,CE 4301,Fundamental of Internet of Things,Introduction to the Internet of Things (IoT) including microcontroller or microprocessor based systems that can control physical world; key components of IoT and networking; full stack software development; IoT design considerations and constraints; interfacing between devices and physical world.,3,,,TRUE
404,CE 4302,Introduction to Big-Data,"Big data analysis, tools, and techniques; Management of structured and unstructured data; Processing and Querying large data sets.",1,,,TRUE
405,EE 3704,Embedded Systems,"Architecture, features and instruction sets of microcontrollers and DSP processors, interfacing techniques, requirements of power applications, external memory, peripherals, timers, DAC and ADC, sampling and real time considerations, programming, data acquisition. Introduction and development of micro-electro mechanical (MEMS) technology.",3,,,TRUE
406,EE 4403,Basic Mechatronics,Introduction to mechatronics with emphasis on PLC or industrial robots that used in automated manufacturing. Basic knowledge of Pneumatic and Hydraulic equipments will be overviewed.,3,,,TRUE
407,EE 4602,Industrial Instrumentation and Control,"Analog and digital equipment and measuring instruments; various types of transducers, data processing and displays; study of techniques of system control in industry in order to be able to do some analysis, design, equipment selection and maintenance for the control system in industry.",3,,,TRUE
408,MCE 4102,Introduction to Industrial Automation,"PLC, instrumentation, sensors and actuators in manufacturing automation, signal conditioning, computer based control systems, PLC networking systems.",3,,,TRUE
409,CE 4108,Operations Research,"Scientificmethods of operations research, linear programming, dynamic programming, game theory, queuing theory, simulation, and applications of these techniques to industrial operations.",3,,,TRUE
410,CE 4109,Information Systems Analysis and Design,"Data and information; data processing system; information system design; data storage and data classification; eror detection; file and fom design, sequential, indexed, VSAM, ISAM.",3,,,TRUE
411,CE 4907,Computer Engineering Industrial Training,Student needs to apply for internship from Company that dealing in Computer Engineering field.Student need to submit a report regarding their duty assigned to the responsible faculty.,3,,,TRUE
412,IE 4201,Engineering Management,"Modern management principles, methods of increasing productivity, human relation, industrial safety, commercial laws, basic of engineering economy, finance, marketing, poject management.",3,,,TRUE
413,IE 4203,Engineering Economics,"Methods of comparison, depreciation, evaluation of replacement, risk and uncertainty, estimating of income, tax consequences, processes of decision making for investment of challenging projects.",3,,,TRUE
414,CE 3001,Commercial Application Programming,,3,,,TRUE
415,CE 3003,Mobile Applications Development,,3,,,TRUE
416,CE 4221,Network Applications and Technology,,3,,,TRUE
417,CE 4224,Telecommunication Network Laboratory,,1,,,TRUE
418,CE 4225,Computer and Network Security,,3,,,TRUE
419,CE 4301,Fundamental of Internet of Things,,3,,,TRUE
420,EE 3301,Electromagnetic Fields,,3,,,TRUE
421,EE 3704,Embedded Systems,,3,,,TRUE
422,EE 4305,Digital Signal Processing,,3,,,TRUE
423,EE 4501,Power System Analysis,,3,,,TRUE
424,EE 4503,Electrical System Design,,3,,,TRUE
425,EE 4506,High Voltage Engineering,,3,,,TRUE
426,EE 4602,Industrial Instrumentation and Control,,3,,,TRUE
427,EE 4603,Industrial Electronics,,3,,,TRUE
428,EE 4701,Microprocessor Interface Techniques,,3,,,TRUE
429,IE 2110,Introduction to Manufacturing with Plastics,,3,,,TRUE
430,IE 4101,Manufacturing and Information Technology,,3,,,TRUE
431,IE 4201,Engineering Management,,3,,,TRUE
432,IE 4203,Engineering Economics,,3,,,TRUE
433,MCE 4801,Instrument for Aviation,,6,,,TRUE
434,MCE 4903,Advanced Topics in Mechatronics Engineering,,3,,,TRUE
435,MCE 4904,Special Problems in Mechatronics Engineering,,3,,,TRUE
436,MCE 4907,Engineering Internship,,3,,,TRUE
437,ME 4010,Machine Design,,3,,,TRUE
438,ME 4310,Mechanical Vibration,,3,,,TRUE
439,ME 4412,Internal Combustion Engines,,3,,,TRUE
440,ME 4414,Air Conditioning,,3,,,TRUE
441,ME 4505,Ship Design,,3,,,TRUE
442,ME 4602,Maritime Robotics,,3,,,TRUE
443,TE 3000,Principles of Communications,,3,,,TRUE
